,starcoder2-7b,phi-2,CodeQwen1.5-7B,phi-1_5,phi-1,codegemma-2b,codegemma-7b,deepseek-coder-6.7b-base,deepseek-coder-1.3b-base,granite-3b-code-base,Meta-Llama-3.1-8B,stable-code-3b,starcoder2-3b
0,variation,code_error,variation,incomplete_generation,variation,incomplete_generation,variation,variation,variation,variation,variation,variation,variation
1,c4-clone,variation,c4-clone,incomplete_generation,variation,incomplete_generation,c4-clone,c4-clone,c4-clone,variation,variation,code_error,variation
2,variation,variation,c4-clone,code_error,variation,incomplete_generation,code_error,variation,c4-clone,c4-clone,code_error,c4-clone,variation
3,variation,variation,variation,code_error,code_error,incomplete_generation,code_error,c4-clone,variation,c4-clone,variation,variation,variation
4,variation,variation,variation,variation,incomplete_generation,incomplete_generation,variation,code_error,variation,variation,code_error,code_error,variation
5,variation,code_error,variation,code_error,code_error,incomplete_generation,variation,variation,variation,variation,variation,variation,variation
6,variation,incomplete_generation,incomplete_generation,code_error,code_error,incomplete_generation,variation,incomplete_generation,variation,incomplete_generation,incomplete_generation,variation,variation
7,variation,variation,c4-clone,variation,code_error,incomplete_generation,code_error,variation,incomplete_generation,c4-clone,variation,variation,variation
8,variation,incomplete_generation,variation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,code_error,incomplete_generation,code_error,variation,variation,variation
9,code_error,variation,single_color,incomplete_generation,code_error,incomplete_generation,code_error,code_error,incomplete_generation,code_error,incomplete_generation,single_color,incomplete_generation
10,variation,variation,variation,code_error,variation,incomplete_generation,variation,code_error,variation,variation,variation,variation,code_error
11,variation,incomplete_generation,variation,incomplete_generation,variation,incomplete_generation,variation,code_error,incomplete_generation,code_error,incomplete_generation,incomplete_generation,variation
12,variation,code_error,incomplete_generation,code_error,code_error,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation,incomplete_generation,incomplete_generation,code_error
13,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,code_error,incomplete_generation,code_error,variation,code_error,incomplete_generation
14,variation,incomplete_generation,variation,incomplete_generation,variation,incomplete_generation,c1-clone,c1-clone,c1-clone,c1-clone,c1-clone,variation,variation
15,variation,variation,variation,incomplete_generation,code_error,incomplete_generation,code_error,variation,variation,variation,variation,code_error,variation
16,code_error,code_error,code_error,code_error,code_error,incomplete_generation,incomplete_generation,code_error,variation,variation,variation,code_error,code_error
17,variation,incomplete_generation,variation,variation,code_error,incomplete_generation,variation,variation,variation,incomplete_generation,variation,variation,variation
18,variation,variation,code_error,code_error,code_error,incomplete_generation,code_error,variation,variation,code_error,variation,variation,variation
19,code_error,incomplete_generation,incomplete_generation,variation,code_error,incomplete_generation,variation,variation,variation,variation,incomplete_generation,variation,variation
20,code_error,incomplete_generation,variation,code_error,code_error,incomplete_generation,variation,variation,code_error,code_error,variation,code_error,variation
21,variation,code_error,variation,code_error,code_error,incomplete_generation,variation,variation,code_error,single_color,variation,variation,code_error
22,variation,incomplete_generation,variation,code_error,code_error,incomplete_generation,variation,c0-clone,variation,variation,variation,variation,code_error
